DATE,VI,LM,SI,N
2017-04-06 14:00:00,11.667147027713137,10.8,7.825174425295623,9.5
2017-04-06 15:00:00,11.90938100275016,10.8,8.383917268463907,8.7
2017-04-06 16:00:00,11.851191030251744,11.7,8.737094326322756,7.2
2017-04-06 17:00:00,12.137292997672944,12.3,8.879661650890469,6.2
2017-04-06 18:00:00,11.412826740004231,12.6,9.50330472998245,6.0
2017-04-06 19:00:00,10.28652591495663,11.2,8.45323567914377,5.5
2017-04-06 20:00:00,9.54225682250899,9.9,7.060703239635181,4.9
2017-04-06 21:00:00,9.084290247514279,9.0,6.171638087291767,4.5
2017-04-06 22:00:00,8.317852337634864,8.8,6.117614077739736,4.8
2017-04-06 23:00:00,8.128443410196741,7.9,4.904221451793884,3.5
2017-04-07 00:00:00,8.080420562724772,6.8,5.814668627902293,3.2
2017-04-07 01:00:00,7.788244552570343,7.0,6.137523376586013,2.5
2017-04-07 02:00:00,8.023440660038077,6.8,5.5893902667088655,2.3
2017-04-07 03:00:00,7.744376560186164,7.8,5.481238311706995,2.1
2017-04-07 04:00:00,7.213898032578803,7.8,5.804093060390713,0.2
2017-04-07 05:00:00,7.208671884916438,7.7,5.796266219754296,-0.8
2017-04-07 06:00:00,6.761920880050773,7.2,5.448133109877147,-2.6
2017-04-07 07:00:00,6.907484662576687,7.4,5.422854748683719,-0.8
2017-04-07 08:00:00,7.0503659826528455,8.2,5.535888094484565,-0.4
2017-04-07 09:00:00,7.634856780198858,10.1,5.9849720919527005,0.9
2017-04-07 10:00:00,7.953896340173472,12.4,5.98254847944299,2.9
2017-04-07 11:00:00,8.360957055214723,11.3,6.432154314238857,6.0
2017-04-07 12:00:00,10.455838375290881,11.0,6.9767162010530255,7.4
2017-04-07 13:00:00,10.196014385445316,12.4,7.914077020456309,9.1
2017-04-07 14:00:00,10.638471757986036,12.5,9.913973084558506,10.6
2017-04-07 15:00:00,10.873868415485509,11.7,10.661654127226171,10.2
2017-04-07 16:00:00,10.552909667865457,11.9,9.938508429956554,10.0
2017-04-07 17:00:00,10.078277977575631,10.8,9.966732240987428,9.4
2017-04-07 18:00:00,9.7,10.6,11.15916074459821,7.9
2017-04-07 19:00:00,8.850705309921725,10.6,10.481435034669275,5.8
2017-04-07 20:00:00,8.625252379944996,9.1,9.35841772880283,4.7
2017-04-07 21:00:00,8.66397884493336,9.0,7.693483327099577,4.5
2017-04-07 22:00:00,7.753387772371483,8.4,6.825962755703887,4.2
2017-04-07 23:00:00,7.553811719906918,8.1,5.809624679920592,4.3
2017-04-08 00:00:00,7.23434821239687,7.9,5.426913643294876,4.1
2017-04-08 01:00:00,7.621521472392637,7.8,4.5203969703944535,3.8
2017-04-08 02:00:00,7.463130949862492,7.6,3.6996993411399135,3.6
2017-04-08 03:00:00,6.946974402369367,7.6,3.6219283165980953,3.1
2017-04-08 04:00:00,6.917991114872012,7.4,3.1796861063958337,2.1
2017-04-08 05:00:00,6.639713137296384,7.4,2.870223983657968,2.0
2017-04-08 06:00:00,6.377368309710176,7.1,2.771070935351152,1.6
2017-04-08 07:00:00,6.361011212185317,6.8,3.5198884397387573,-0.2
2017-04-08 08:00:00,6.571378887243495,7.0,5.517765486089133,1.6
2017-04-08 09:00:00,6.794149354770467,7.3,7.862106194435654,4.5
2017-04-08 10:00:00,7.3177677173683096,7.2,9.061688293005727,6.6
2017-04-08 11:00:00,7.2947738523376335,7.0,11.092694996691316,8.2
2017-04-08 12:00:00,7.540114237359848,7.2,12.537419440688204,8.8
2017-04-08 13:00:00,8.082995557436007,7.6,13.503629844347902,9.5
2017-04-08 14:00:00,8.967486354982018,8.2,13.6651555801709,9.9
2017-04-08 15:00:00,9.03827966998096,8.3,14.462372687516186,8.6
2017-04-08 16:00:00,9.48511529511318,8.2,13.253723350691947,8.0
2017-04-08 17:00:00,8.678902475142799,7.9,11.763289409327614,7.7
2017-04-08 18:00:00,9.03709244764121,8.2,10.740168167563366,7.1
2017-04-08 19:00:00,7.6875743600592354,8.0,9.697438285812927,4.5
2017-04-08 20:00:00,7.0546367675058175,8.1,8.754870961245217,3.7
2017-04-08 21:00:00,7.251753755024327,7.4,8.065480694536353,3.4
2017-04-08 22:00:00,6.760849587476201,6.1,7.361062519780187,2.8
2017-04-08 23:00:00,6.716357097524858,6.8,6.214077020456309,2.5
2017-04-09 00:00:00,6.091104717579861,6.4,5.406029001352246,2.3
